speaker,response
hey guys guess who i found at lax my baby sister priya,excuse me i object you propose a guessing game yet you dont give me enough time to guess for the record i was going to say your sister priya
whats that,im going to run around outside with a wet head and try to catch a cold
well maybe its all for the best you know i always say when one door closes another one opens,no it doesnt not unless the two doors are connected by relays or there are motion sensors involved
maybe we can go up to napa valley theyve got that wine train,boo wine but yay trains im in
now that penny and i are engaged i thought we might want to talk about our living arrangements,of course shes spent many nights here and youre worried about preserving the myth of her virginity before the wedding
but it is a fact that its a privilege to know you totally a teardrop rolls down my cheek,only a suggestion a catch in your throat would work just as well
and leonard didnt want to work with you imagine that,i know its baffling nobody knows the trouble ive seen
well i want to watch it now,then i believe weve arrived at another quintessential rockpaperscissors lizardspock moment
happy star wars day,wow a death star cake
how,what if i told you that over the past few months amy has secretly been giving you little puzzles to test your intelligence against chimpanzees in her lab
its funny because bread sounds like dead,im sorry but these are just ordinary foods with the names bent into tortured puns the dishes themselves are in no way halloweenie
okay can you drive me,i dont drive
good to know,in here youll find emergency provisions an eightday supply of food and water a crossbow season two of star trek
i take it back that was funny,the philosopher henri bergson says its funny when a human being behaves like an object
sheldon,its okay
oh no why,i thought she was a highly evolved creature of pure intellect like me but recent events indicate that she may be a slave to her baser urges like you
its going to be okay,i know as hard as this is i have to move on i cant keep postulating multidimensional entities and get nothing in return i have needs too
yeah sure,i dont like bearclaws
all right great later,i see what youre doing you accept an invitation to a party at the home of my sworn enemy he tells everyone were going to be there and when we dont show he looks the fool fiendishly clever
a marathon wow how many superman movies are there,youre kidding right
hey i work at the same university you do,yes and hawkeyes in the avengers but no one ever says help hawkeye
no,we seem to have different approaches here i was going for helpful honesty i have no idea what youre doing
yeah i made an adjustment on the motor drive and when i was putting it back together i could not for the life of me figure out where they went,i did it had to go to three clothing stores but we finally found a dress that could envelop your mother
i wouldnt expect you to ill see you later,socks one pair cotton argyle blue socks one pair cotton argyle blue
no,i said give it to me
aw you brought cookies for everyone,oh yes fig newtons i was going to ask them which scientist both helped to develop calculus and had a famous cookie named after him and then after someone said newton i was going to tell them theyre wrong the cookies are named after a town in massachusetts and then id throw the cookies away
so how do you guys want to play this,be ruthless you tell him if he doesnt start talking well register a complaint with his internet service provider
how about it sheldon,what do you think i should do
oh,einstein
do you know any mining songs,just the hits where its dark as a dungeon and its damp as the dew
lets go,interesting sex works even better than chocolate to modify behaviour i wonder if anyone else has stumbled on to that
are you kidding thats what you always do think harder,youre right youre right got it we order calzones cut them open eat them like pizza all right all right ill shake the brain bush one more time see what falls out got it theres a liveaction roleplaying group that meets every thursday night in griffith park and reenacts battles from lord of the rings
well i understand too,youre just misappropriating my understanding
why theyre stateoftheart digital projection 20channel surround sound,yes but they have no icee machines despite my aggressive letterwriting campaign i might add
thank you,oh do we have to suffer through this transparently manipulative pseudoreality again
you know cause cause a lot of people lose their virginity on prom night,penny implied the same thing is this true
i dont know its a fat guy on a segway thats funny everywhere,im deleting it
take that glass ceiling,and if i may get serious for a moment hosting this show has been one crazy ride but with all its ups and downs i wouldnt give it up for the world except for now when im giving it up before i sign off id uh id like to share with you all one last use for a white flag its good for times like this good night
all i do is win win win no matter what,what are you doing
comforting you,your heart might be in the right place but your head chest and arms certainly arent
you know the rules you brought your mom to work you must suffer,leonard i had no idea your siblings were so much more successful than you
nice close up by the way,interesting her jaws are clenched no tongue access clearly a bad sign amongst mating humans
